X,Y,cell_type,sample
0.406262911197099,0.6781200142854115,Cell type 1,Sample 1
0.3406811632876527,-0.5768461406699292,Cell type 1,Sample 2
0.1843366544364506,-0.19666940616368034,Cell type 1,Sample 3
0.8679819015826247,0.0989553917313239,Cell type 1,Sample 1
0.3710476860046535,0.14964629020324596,Cell type 1,Sample 2
-0.6035108239286078,-0.5376561965246189,Cell type 1,Sample 3
-0.6322492034774828,-0.8965532262672884,Cell type 1,Sample 1
0.2154312095075187,-0.6378413299978658,Cell type 1,Sample 2
-0.06395879574038327,-0.4777702203002129,Cell type 1,Sample 3
0.07472804483165477,0.3853751048093937,Cell type 1,Sample 1
0.07244391654844559,0.011951521642477736,Cell type 1,Sample 2
0.19689864910812577,-0.963836289672805,Cell type 1,Sample 3
0.03634026216467067,-0.2057465722810901,Cell type 1,Sample 1
0.4361603183603391,0.09167100286917587,Cell type 1,Sample 2
-0.8880058770242011,0.531970493780428,Cell type 1,Sample 3
0.23463379490426312,-0.7677860616035529,Cell type 1,Sample 1
-0.09157523552664734,-0.17833656708993562,Cell type 1,Sample 2
0.4288298116010097,-0.07996926498171356,Cell type 1,Sample 3
-0.48136628264230613,-0.10330563984802332,Cell type 1,Sample 1
0.9505953428765037,-0.030330406907310387,Cell type 1,Sample 2
-0.6951109625767313,0.07888071964688474,Cell type 1,Sample 3
-0.2586442250501861,0.70467372009279,Cell type 1,Sample 1
0.4950831194796445,-0.10856553747310124,Cell type 1,Sample 2
0.061602403392242835,0.2757426880202338,Cell type 1,Sample 3
0.029104359222999948,-0.5714851489153115,Cell type 1,Sample 1
-0.5460818163590448,0.41737566316244107,Cell type 1,Sample 2
-0.5552879227329144,0.8761352217118114,Cell type 1,Sample 3
-0.4025858758714381,0.5384240723288402,Cell type 1,Sample 1
-0.13948146516590426,-0.1398800842479172,Cell type 1,Sample 2
-0.15460453852493172,-0.3760782027952916,Cell type 1,Sample 3
0.3664145409108725,-0.6371160595383976,Cell type 1,Sample 1
-0.13990517118850304,-0.48226889745509566,Cell type 1,Sample 2
-0.06709010533846228,0.25967937281894404,Cell type 1,Sample 3
0.15976233539147772,0.8268086342461425,Cell type 1,Sample 1
0.021801223186226862,0.8475255202153765,Cell type 1,Sample 2
-0.19994953106556854,0.134647376290367,Cell type 1,Sample 3
0.681281426356226,0.8203072817441437,Cell type 1,Sample 1
-0.24153052584171975,0.07339650599277468,Cell type 1,Sample 2
-0.48187946310530544,-0.47857545744752145,Cell type 1,Sample 3
-0.386329722635412,0.4150959059313051,Cell type 1,Sample 1
-0.7855761755589415,0.5407570431498706,Cell type 1,Sample 2
-0.41716152274579105,0.38201489078642975,Cell type 1,Sample 3
0.1680724815131144,-0.11373812997670389,Cell type 1,Sample 1
0.8119424964055761,0.19158409487945016,Cell type 1,Sample 2
-0.20809720244262697,-0.5650346695201789,Cell type 1,Sample 3
-0.3812596195732991,0.5181514460362399,Cell type 1,Sample 1
-0.2280604137370941,0.09071331005698569,Cell type 1,Sample 2
0.13392181893316665,-0.41176748531292473,Cell type 1,Sample 3
0.2528677162363995,-0.04335056807410436,Cell type 1,Sample 1
0.20024069325316435,0.06553259310792436,Cell type 1,Sample 2
-0.9593856076495207,-0.013256937724608439,Cell type 1,Sample 3
0.28602872085707204,-0.031095508499655502,Cell type 1,Sample 1
0.03418578298382938,-0.8732333627895168,Cell type 1,Sample 2
-0.6792870076287372,-0.5398681606379242,Cell type 1,Sample 3
0.4380233962648971,0.736335337875491,Cell type 1,Sample 1
-0.15388911747650041,0.10957516383196948,Cell type 1,Sample 2
0.23013581249115192,0.09742117013506903,Cell type 1,Sample 3
-0.04585301207256299,-0.44388475576927033,Cell type 1,Sample 1
0.23673594951761423,-0.13382054544939678,Cell type 1,Sample 2
-0.09410121938641057,-0.051793426702890305,Cell type 1,Sample 3
-0.3879374115832419,0.03948202283404226,Cell type 1,Sample 1
-0.7854407285629561,0.677786467855174,Cell type 1,Sample 2
0.10237944120089208,0.3829391397403074,Cell type 1,Sample 3
0.19096772611577667,0.21502082359553482,Cell type 1,Sample 1
-0.03406171258397655,0.18198531542636906,Cell type 1,Sample 2
-0.09264382943885414,-0.06491034986671308,Cell type 1,Sample 3
-0.24178074192326854,-0.30608345857741037,Cell type 1,Sample 1
0.3188029061156043,0.1293849026219608,Cell type 1,Sample 2
0.04191331396468047,0.7052295726017519,Cell type 1,Sample 3
0.3782441771580492,-0.9570300352937336,Cell type 1,Sample 1
-1.3098725520448722,0.4109512521876119,Cell type 1,Sample 2
-0.29326563478196777,0.1121082021453965,Cell type 1,Sample 3
-0.0657362978358339,0.41302358572075315,Cell type 1,Sample 1
-0.3177049401143685,-0.020646343503641418,Cell type 1,Sample 2
-0.3856001497746453,-0.8869848080560647,Cell type 1,Sample 3
0.14488742844820646,1.0377003993227194,Cell type 1,Sample 1
-0.4192928992236155,-0.44334046114172865,Cell type 1,Sample 2
0.378394339993491,0.30623439700680116,Cell type 1,Sample 3
0.5519386716581288,0.2375838732476908,Cell type 1,Sample 1
-0.6086413461102397,0.07973125340206459,Cell type 1,Sample 2
0.01310237638701783,-0.15178216263295752,Cell type 1,Sample 3
0.014159188065230586,0.014878069747872594,Cell type 1,Sample 1
-0.0624434426750337,0.00784889797887919,Cell type 1,Sample 2
0.32576099566975286,-0.5688428352124083,Cell type 1,Sample 3
-0.6888346839785455,-0.4689125199575614,Cell type 1,Sample 1
0.0802869905249323,0.0015230100767072347,Cell type 1,Sample 2
0.1539008844460296,-0.8550841963283128,Cell type 1,Sample 3
-0.6594842491512554,0.010053233434549193,Cell type 1,Sample 1
-0.6252038669848587,0.3022576631776834,Cell type 1,Sample 2
0.6032544832541784,-0.40846783549361804,Cell type 1,Sample 3
-0.36988558198648364,-0.6673053034551163,Cell type 1,Sample 1
-0.11048208691483197,0.01344291949726539,Cell type 1,Sample 2
-0.03133954863658594,0.47757116025061913,Cell type 1,Sample 3
-0.6896596140072636,-0.36546501997095954,Cell type 1,Sample 1
0.36547948818810805,-0.32532991368419184,Cell type 1,Sample 2
-0.4127485983962558,-0.16069292082649672,Cell type 1,Sample 3
-0.371242116269192,-0.24265291768393416,Cell type 1,Sample 1
0.21004724522592064,0.3034252966078355,Cell type 1,Sample 2
0.23160314604956153,-0.6835689032301229,Cell type 1,Sample 3
-0.11282819035612582,0.6945121814813808,Cell type 1,Sample 1
0.5002911590214891,-0.33531010453832244,Cell type 1,Sample 2
0.1838246464957108,-1.050013253825812,Cell type 1,Sample 3
0.34507199585555626,-0.20061023594291813,Cell type 1,Sample 1
0.07570152397586631,0.1492259069907199,Cell type 1,Sample 2
-0.026553400848455325,-0.2754909017691248,Cell type 1,Sample 3
0.11689295589537385,-0.7779478231018137,Cell type 1,Sample 1
-0.32784385973072183,-0.11785562242833425,Cell type 1,Sample 2
-0.3461251646329482,-0.9844615712080416,Cell type 1,Sample 3
0.1900989255029816,0.3052928726419116,Cell type 1,Sample 1
-0.09789263548429067,-0.5211357940236242,Cell type 1,Sample 2
0.27657457818960457,-0.2741001490833863,Cell type 1,Sample 3
-0.3980684015932477,-0.4750317487330636,Cell type 1,Sample 1
0.22530170643126943,-0.934908169766082,Cell type 1,Sample 2
0.2513724037454073,-1.2466354101650388,Cell type 1,Sample 3
0.1778344742816147,0.09578869809704481,Cell type 1,Sample 1
0.28687221050220657,-0.638152208269168,Cell type 1,Sample 2
-0.0543800742284288,0.20085586104947073,Cell type 1,Sample 3
-0.5250703698010728,0.37874757466874276,Cell type 1,Sample 1
-1.0619478621549034,-0.2628775108403805,Cell type 1,Sample 2
0.11204624090520839,0.00629620039089743,Cell type 1,Sample 3
-0.3547899273745863,-0.6292524553376673,Cell type 1,Sample 1
-0.5956517486013243,0.32827680431691486,Cell type 1,Sample 2
-0.4062728850609929,1.052648714729156,Cell type 1,Sample 3
0.29308290019639166,-0.2062069091082402,Cell type 1,Sample 1
-0.46771935102229767,0.5429910580875161,Cell type 1,Sample 2
0.05294722655761712,0.2922064902362421,Cell type 1,Sample 3
0.7650975994316757,0.3324635811508705,Cell type 1,Sample 1
-0.3582867442120526,0.4047972179859429,Cell type 1,Sample 2
-1.3021069283135671,0.09947407339824726,Cell type 1,Sample 3
-1.2018343005502652,0.6962279707415338,Cell type 1,Sample 1
-0.36480123490370475,0.18070865863655144,Cell type 1,Sample 2
0.030941676443567604,-0.463776665405864,Cell type 1,Sample 3
0.0377168194507964,-0.8009829059485842,Cell type 1,Sample 1
-0.22503273573962182,0.3114249661737494,Cell type 1,Sample 2
0.543855213078933,0.3458092875606942,Cell type 1,Sample 3
0.31275400841551787,0.4426157414944955,Cell type 1,Sample 1
-0.010450796982074066,0.058663691654391,Cell type 1,Sample 2
-0.010683647174218078,-0.3736058395739117,Cell type 1,Sample 3
-0.5998626325451067,0.3494598425403944,Cell type 1,Sample 1
-0.4088411983025669,-0.5669151784031771,Cell type 1,Sample 2
-0.17029935345493075,0.2500715165569419,Cell type 1,Sample 3
-0.34838590921478746,0.29101328354236344,Cell type 1,Sample 1
-0.3557310970418524,-0.19222843948854582,Cell type 1,Sample 2
0.20210643263866604,0.35793637234547976,Cell type 1,Sample 3
-0.29000816632684234,-0.5782079083719284,Cell type 1,Sample 1
-0.6473407378604529,0.5804133936892597,Cell type 1,Sample 2
0.2814404300871774,-0.43990717675102714,Cell type 1,Sample 3
0.16542565230778888,0.725500719065668,Cell type 1,Sample 1
-0.14372375970017778,0.14366445220150464,Cell type 1,Sample 2
-0.6995392140922377,-0.7601433961203048,Cell type 1,Sample 3
-0.1941734691505792,-0.15280955553415648,Cell type 1,Sample 1
0.9038042538846316,0.25307882773035617,Cell type 1,Sample 2
-0.02444859173705277,-0.7025949234017875,Cell type 1,Sample 3
0.17850774298252367,-0.3464547976303271,Cell type 1,Sample 1
-1.0377940045392666,-0.04303484639544653,Cell type 1,Sample 2
0.052100551975938034,-0.03129656394976121,Cell type 1,Sample 3
0.23333549098304052,0.76050311357969,Cell type 1,Sample 1
0.22190971407311422,0.3873170267146684,Cell type 1,Sample 2
-0.22881662466880762,0.09284429020936946,Cell type 1,Sample 3
-0.024514670419018367,-0.08018004052241538,Cell type 1,Sample 1
0.545430835301849,-0.23146975601262915,Cell type 1,Sample 2
-0.6461313475528093,0.3448539026225972,Cell type 1,Sample 3
-0.9891126246874051,0.023467451030184813,Cell type 1,Sample 1
0.4816880646221609,0.20639046346824916,Cell type 1,Sample 2
0.2717396893350465,0.09990521685935674,Cell type 1,Sample 3
-0.7013026358998468,0.8747883715934697,Cell type 1,Sample 1
-0.4782181884090044,0.23620313894018868,Cell type 1,Sample 2
1.1745378933503787,-0.35802171813792016,Cell type 1,Sample 3
-0.6834393492077105,-0.11238270094634177,Cell type 1,Sample 1
0.8988432634247613,0.3204214306335049,Cell type 1,Sample 2
-0.5896845608163086,0.08612719320551875,Cell type 1,Sample 3
0.21846908487317493,0.5953231373931707,Cell type 1,Sample 1
-0.3905781890655571,-0.12990007038375626,Cell type 1,Sample 2
0.12994139712421177,0.3909114358886552,Cell type 1,Sample 3
0.13621069832680494,0.2087325449106475,Cell type 1,Sample 1
-0.30335014738264837,0.10564184613973636,Cell type 1,Sample 2
0.5970547015236862,-0.4905827655698408,Cell type 1,Sample 3
-0.9468073334768928,0.10664685368646928,Cell type 1,Sample 1
-0.12453592232652036,-0.8364469506557871,Cell type 1,Sample 2
0.0078091669748015236,0.4511385868933236,Cell type 1,Sample 3
-0.5493102125889061,0.7102521436355316,Cell type 1,Sample 1
0.11572296126278615,0.32324476886288533,Cell type 1,Sample 2
-0.45809595774062123,-0.41591110411522236,Cell type 1,Sample 3
-0.07497035953955468,-0.716575907262356,Cell type 1,Sample 1
0.33597230390724875,0.19210103600294826,Cell type 1,Sample 2
0.3429289093042095,-1.0768652868957307,Cell type 1,Sample 3
-0.2596981859130633,-0.1704539386730399,Cell type 1,Sample 1
0.14937645418284312,-0.37589552504759216,Cell type 1,Sample 2
-0.03178676959306073,-0.7254639455556121,Cell type 1,Sample 3
1.159664769990847,0.19665891969718594,Cell type 1,Sample 1
-0.06377456018876711,0.7555774651236737,Cell type 1,Sample 2
0.029185145408947823,-0.30192946561847733,Cell type 1,Sample 3
-0.0821676029426956,0.10604667653708762,Cell type 1,Sample 1
-0.4924965629085076,0.09934000477370344,Cell type 1,Sample 2
-0.05171561214514196,-0.6195263512633212,Cell type 1,Sample 3
0.4044596346963597,-0.2922276459252191,Cell type 1,Sample 1
-0.05099735831796599,-0.4212163150631632,Cell type 1,Sample 2
-0.84425259403425,-0.5600237112349361,Cell type 1,Sample 3
-0.20490062189676653,0.39167935526201564,Cell type 1,Sample 1
0.19418786461508417,-0.04741211564043612,Cell type 1,Sample 2
0.17087798788857972,0.9380854196079431,Cell type 1,Sample 3
1.4678289511638891,-0.5366640161114478,Cell type 1,Sample 1
-0.6219316176956425,-0.34645259889795366,Cell type 1,Sample 2
-0.5454832151075991,-0.2054071439772924,Cell type 1,Sample 3
0.35570528973274756,1.5564551005219205,Cell type 1,Sample 1
0.18855019695109324,-0.014631406842489177,Cell type 1,Sample 2
-0.7911115833732388,0.02511384958284022,Cell type 1,Sample 3
-0.009508103951344415,-0.5012646823189044,Cell type 1,Sample 1
