,X,Y,group,sample,cell_type
0,-1.2121528497588419,2.0934994139556196,0,Sample 3,Cell type 1
1,-0.004856729231914659,1.6707926195613134,0,Sample 3,Cell type 1
2,-0.20564192705045176,-0.7779579892051747,3,Sample 2,Cell type 1
3,-1.436514538104012,-1.2640721533611499,2,Sample 1,Cell type 1
4,0.5020850380494649,-1.2236059706372269,2,Sample 1,Cell type 1
5,1.1725190151372433,0.8193789596107715,0,Sample 3,Cell type 1
6,0.17376635002272073,-1.3718137791293823,3,Sample 2,Cell type 1
7,-0.7132347918836038,-0.9442365844565759,3,Sample 2,Cell type 1
8,-1.3937773541082201,-1.436833439053377,2,Sample 1,Cell type 1
9,-0.28877293265526394,1.9274638426913984,0,Sample 3,Cell type 1
10,0.4056162177082855,-1.0459162920592289,2,Sample 1,Cell type 1
11,0.16757606691821808,-1.7876272403855746,2,Sample 1,Cell type 1
12,-0.32841478618378406,0.45511882576025986,2,Sample 1,Cell type 1
13,0.06841066371167923,-2.3725666549105036,3,Sample 2,Cell type 1
14,-0.17727975550803146,-2.152785307619935,3,Sample 2,Cell type 1
15,0.15166529327899472,1.8008368740537128,0,Sample 3,Cell type 1
16,1.3323795555700615,1.8114960520145043,0,Sample 3,Cell type 1
17,1.0996890140612436,-0.7122553218509431,3,Sample 2,Cell type 1
18,-0.794871612475229,-0.8912603462253216,2,Sample 1,Cell type 1
19,2.2041741949759213,-1.2444884913230427,2,Sample 1,Cell type 1
20,-0.1495169265295879,-0.3043785949721123,1,Sample 4,Cell type 1
21,-0.2072337166565625,0.8429201207320174,0,Sample 3,Cell type 1
22,-0.6827963840490733,-1.5355495309067924,3,Sample 2,Cell type 1
23,-1.055397755679014,0.8376154900834744,1,Sample 4,Cell type 1
24,-1.2342412121677169,0.4937959760919687,1,Sample 4,Cell type 1
25,0.9087582767550576,-1.1231981321582654,3,Sample 2,Cell type 1
26,-0.8792313796254874,0.43733216134001385,3,Sample 2,Cell type 1
27,-0.534472362914439,1.7936338796292182,0,Sample 3,Cell type 1
28,0.1385447406809456,1.3082539037830694,0,Sample 3,Cell type 1
29,-0.732381623272234,-0.898832624751448,3,Sample 2,Cell type 1
30,-0.1988926830133419,-0.49870909018954335,2,Sample 1,Cell type 1
31,-0.48155555354814167,-1.5065851173719818,2,Sample 1,Cell type 1
